date,latitude,longitude,state,district,rainfall_mm,temperature,humidity,elevation_m,slope_degree,soil_type,river_level,road_condition,traffic_level,historical_incidents,incident_type,incident_severity,road_blocked,delay_minutes
2023-01-11,26.0466,91.2282,Meghalaya,Jaintia Hills,0.1,15.9,52.4,1661,0.9,Mountain Soil,4.56,Fair,Low,0,None,None,False,8
2023-01-12,25.3526,95.1741,Nagaland,Dimapur,3.0,14.5,83.0,1356,7.4,Red Loamy,4.97,Good,Low,1,None,None,False,27
2023-01-12,27.9998,88.1791,Sikkim,East Sikkim,6.0,6.5,42.1,3422,20.1,Red Loamy,4.41,Good,Moderate,0,None,None,False,8
2023-01-12,24.987,92.6931,Assam,Barpeta,5.0,15.8,49.7,169,6.5,Laterite,1.96,Under Construction,High,7,Fog/Visibility,Medium,False,53
2023-01-12,25.3369,94.6778,Nagaland,Mon,0.8,12.4,52.8,1480,2.8,Mountain Soil,2.82,Good,Moderate,1,None,None,False,8
2023-01-12,25.6189,95.3163,Assam,Nagaon,0.1,16.7,56.1,164,0.0,Clayey,3.84,Fair,Moderate,1,None,None,False,6
2023-01-12,22.3925,92.3528,Mizoram,Lunglei,4.0,24.1,49.2,1673,0.0,Sandy Loam,4.64,Good,Moderate,0,None,None,False,10
2023-01-12,27.7634,88.8569,Sikkim,North Sikkim,0.5,25.6,57.8,1540,2.0,Mountain Soil,6.36,Poor,High,3,Flood,Medium,False,62
2023-01-12,22.9596,91.9952,Tripura,Dhalai,0.7,15.0,58.5,879,0.0,Clayey,4.36,Fair,Low,2,None,None,False,0
2023-01-12,27.402,88.7523,Sikkim,North Sikkim,0.7,6.1,68.3,3572,26.8,Laterite,1.44,Good,High,0,None,None,False,5
2023-01-13,24.6476,94.3939,Manipur,Tamenglong,0.3,21.5,44.7,1209,22.8,Mountain Soil,3.19,Good,Moderate,0,None,None,False,17
2023-01-14,27.0088,92.138,Arunachal Pradesh,Tawang,0.2,9.2,67.8,2608,13.7,Mountain Soil,4.16,Poor,Low,3,Fallen Tree,Medium,True,205
2023-01-14,25.1017,90.9825,Assam,Dibrugarh,1.2,19.1,68.3,31,0.0,Forest Soil,4.32,Good,Moderate,0,None,None,False,13
2023-01-14,28.5599,97.3222,Arunachal Pradesh,Papum Pare,1.8,11.9,46.5,2510,14.9,Sandy Loam,4.08,Poor,Moderate,2,Fallen Tree,Low,True,340
2023-01-15,26.4385,93.5287,Nagaland,Wokha,0.4,12.1,42.7,1889,0.0,Forest Soil,5.02,Good,Moderate,0,None,None,False,17
2023-01-15,24.9458,94.4686,Manipur,Imphal West,0.5,20.0,43.0,1140,12.1,Mountain Soil,2.2,Fair,Low,2,None,None,False,9
2023-01-15,24.5601,90.0938,Assam,Kamrup,2.0,19.7,83.2,95,0.0,Laterite,4.33,Fair,Low,0,None,None,False,2
2023-01-15,27.6188,88.5405,Sikkim,East Sikkim,0.1,0.3,40.1,2712,13.9,Forest Soil,3.09,Good,Moderate,0,None,None,False,5
2023-01-15,26.7959,93.4327,Assam,Sonitpur,0.0,27.5,61.6,70,7.7,Clayey,4.97,Fair,Moderate,0,None,None,False,13
2023-01-16,23.047,91.8422,Tripura,West Tripura,2.5,26.5,48.9,507,8.2,Mountain Soil,4.6,Good,Low,2,None,None,False,27
2023-01-16,23.3048,92.2707,Tripura,Dhalai,4.4,15.6,63.3,778,0.0,Forest Soil,1.31,Good,Low,1,None,None,False,5
2023-01-16,25.4392,92.2739,Meghalaya,East Khasi Hills,20.0,10.4,49.3,1628,10.5,Mountain Soil,1.65,Fair,Moderate,0,None,None,False,11
2023-01-17,26.793,93.4327,Arunachal Pradesh,Lohit,0.8,10.6,57.0,2028,11.8,Laterite,2.96,Good,Low,0,None,None,False,0
2023-01-17,23.4461,91.9342,Tripura,West Tripura,0.6,32.0,48.9,732,10.1,Red Loamy,5.62,Poor,High,6,Fallen Tree,Medium,False,55
2023-01-17,24.1542,93.0043,Manipur,Ukhrul,2.2,13.7,56.5,886,0.0,Forest Soil,4.01,Good,Moderate,1,None,None,False,11
2023-01-17,27.5631,93.3314,Arunachal Pradesh,Lohit,0.5,27.0,55.8,932,7.0,Alluvial,1.71,Good,Low,0,None,None,False,16
2023-01-17,25.1293,90.1669,Assam,Barpeta,2.2,24.8,55.8,109,1.5,Forest Soil,2.95,Good,Moderate,0,None,None,False,0
2023-01-17,22.9363,92.1442,Tripura,Khowai,0.7,12.0,52.3,555,0.0,Sandy Loam,3.12,Good,Low,0,None,None,False,18
2023-01-18,27.4543,88.8058,Sikkim,East Sikkim,0.6,25.5,57.7,1809,0.4,Red Loamy,5.32,Good,Moderate,0,None,None,False,10
2023-01-18,27.1979,88.823,Sikkim,South Sikkim,8.0,9.6,61.8,3454,29.2,Sandy Loam,5.59,Good,Low,0,None,None,False,7
2023-01-19,25.4193,94.0743,Manipur,Senapati,2.6,12.8,63.2,1474,12.9,Sandy Loam,3.52,Damaged,Moderate,5,Fallen Tree,Medium,False,64
2023-01-19,25.6461,93.5562,Nagaland,Mon,14.6,21.3,52.7,262,0.0,Mountain Soil,5.61,Fair,Low,0,None,None,False,19
2023-01-19,25.9751,95.1975,Assam,Sonitpur,0.3,27.4,61.3,81,5.8,Mountain Soil,3.58,Good,High,0,None,None,False,6
2023-01-20,26.0567,95.1133,Nagaland,Wokha,3.3,17.8,33.0,645,10.8,Laterite,2.45,Fair,High,0,None,None,False,5
2023-01-20,25.0921,92.5841,Meghalaya,Ri Bhoi,3.6,18.8,43.5,924,0.7,Laterite,4.68,Good,Low,0,None,None,False,19
2023-01-20,24.3496,93.2016,Manipur,Churachandpur,3.4,14.2,28.1,1941,12.4,Alluvial,4.48,Good,Moderate,0,None,None,False,3
2023-01-21,25.517,94.3117,Nagaland,Wokha,13.5,12.5,62.7,1190,9.8,Red Loamy,2.71,Good,Moderate,0,None,None,False,15
2023-01-21,25.0758,91.8902,Meghalaya,South Garo Hills,0.1,26.8,61.3,783,11.5,Alluvial,2.57,Good,Moderate,1,None,None,False,0
2023-01-21,23.1411,91.5109,Tripura,North Tripura,3.6,23.6,44.7,380,4.5,Clayey,4.48,Good,Low,1,None,None,False,13
2023-01-21,25.233,93.7347,Nagaland,Tuensang,1.9,5.2,56.9,1041,14.7,Clayey,2.52,Good,Moderate,0,None,None,False,2
2023-01-21,23.1652,91.6346,Tripura,North Tripura,0.1,22.3,49.8,200,6.0,Sandy Loam,3.85,Fair,Moderate,0,None,None,False,3
2023-01-22,28.8573,96.9713,Arunachal Pradesh,Lohit,1.1,14.1,51.6,2907,5.5,Clayey,3.96,Good,Low,0,None,None,False,15
2023-01-22,25.4222,91.1687,Meghalaya,Ri Bhoi,0.2,23.8,53.4,795,5.9,Laterite,4.87,Fair,Moderate,1,None,None,False,3
2023-01-22,23.4666,91.7602,Tripura,Dhalai,3.2,21.0,41.1,125,0.0,Forest Soil,3.92,Fair,Low,1,None,None,False,15
2023-01-22,24.1615,93.1721,Mizoram,Aizawl,3.7,19.3,43.6,983,0.9,Red Loamy,4.04,Good,Moderate,0,None,None,False,17
2023-01-22,22.6606,93.0891,Mizoram,Mamit,0.2,23.6,55.4,1612,3.5,Clayey,3.12,Fair,Low,1,None,None,False,5
2023-01-23,25.0021,94.6333,Manipur,Ukhrul,2.3,19.5,56.3,1235,3.7,Laterite,1.39,Fair,Low,1,None,None,False,2
2023-01-23,22.9293,91.5675,Tripura,Dhalai,2.9,15.4,57.6,626,19.7,Mountain Soil,4.15,Fair,Moderate,0,None,None,False,5
2023-01-23,24.7598,94.6109,Manipur,Senapati,3.5,17.3,60.8,1849,5.8,Clayey,3.16,Good,Low,1,None,None,False,17
2023-01-23,27.9861,88.5269,Sikkim,South Sikkim,0.8,6.9,61.0,4224,18.2,Red Loamy,4.53,Fair,Moderate,0,None,None,False,0
2023-01-24,25.5781,95.0585,Assam,Jorhat,0.1,12.6,64.2,39,5.2,Red Loamy,3.45,Damaged,High,5,Bridge Damage,Medium,True,220
2023-01-25,25.2766,94.3604,Manipur,Tamenglong,0.5,17.0,71.4,1770,2.3,Laterite,4.18,Good,Moderate,2,None,None,False,2
2023-01-25,26.0499,91.8572,Meghalaya,Ri Bhoi,4.0,10.6,34.1,1771,5.0,Clayey,4.26,Good,Low,0,None,None,False,1
2023-01-25,26.4858,93.9208,Nagaland,Dimapur,1.6,20.0,73.5,721,7.9,Clayey,0.5,Good,Moderate,0,None,None,False,17
2023-01-25,22.7008,92.6737,Mizoram,Serchhip,0.3,18.2,61.8,1882,2.1,Clayey,4.92,Good,Moderate,1,None,None,False,6
2023-01-25,26.1195,93.5699,Assam,Barpeta,15.6,24.9,71.1,120,0.0,Laterite,4.28,Good,Moderate,0,None,None,False,0
2023-01-26,25.5654,93.4945,Manipur,Imphal West,0.1,14.9,58.1,1415,9.0,Laterite,4.43,Good,Moderate,0,None,None,False,11
2023-01-26,25.6553,94.3249,Nagaland,Mon,1.1,13.0,65.2,1151,8.2,Clayey,4.58,Fair,Low,0,None,None,False,15
2023-01-26,27.0859,88.7927,Sikkim,East Sikkim,0.5,13.5,46.3,1603,12.2,Red Loamy,4.6,Good,Moderate,0,None,None,False,16
2023-01-27,22.925,92.2206,Tripura,Dhalai,4.9,23.2,76.8,731,4.2,Sandy Loam,4.38,Good,Low,0,None,None,False,13
2023-01-27,22.885,92.479,Mizoram,Lunglei,1.6,16.0,59.6,1188,9.8,Clayey,2.66,Fair,High,0,None,None,False,11
2023-01-27,25.3765,92.7577,Meghalaya,Jaintia Hills,4.6,21.1,59.4,1827,10.5,Red Loamy,4.18,Fair,Low,0,None,None,False,1
2023-01-28,24.2309,94.1997,Manipur,Churachandpur,1.2,22.0,48.8,850,1.3,Clayey,1.53,Good,Low,2,None,None,False,21
2023-01-28,25.5558,92.5107,Assam,Jorhat,0.8,20.4,55.8,144,1.9,Sandy Loam,5.68,Good,Low,0,None,None,False,13
2023-01-28,23.3955,92.0827,Tripura,West Tripura,0.6,15.0,52.7,594,3.9,Alluvial,3.62,Good,Low,2,None,None,False,20
2023-01-28,22.6322,92.861,Mizoram,Aizawl,2.7,22.1,46.3,711,0.0,Sandy Loam,4.21,Fair,High,1,None,None,False,7
2023-01-28,25.9053,95.4705,Assam,Jorhat,0.4,20.9,64.4,129,0.0,Alluvial,6.31,Good,High,0,None,None,False,23
2023-01-29,24.5873,92.973,Assam,Cachar,4.9,22.7,52.3,190,0.0,Laterite,4.68,Fair,Low,1,None,None,False,11
2023-01-29,23.1521,91.5998,Tripura,Gomati,0.1,23.8,65.7,282,0.0,Laterite,4.73,Fair,Moderate,0,None,None,False,18
2023-01-29,25.9508,92.7364,Assam,Cachar,4.2,17.1,60.2,44,3.7,Laterite,0.57,Good,Low,0,None,None,False,5
2023-01-29,26.9226,94.1774,Nagaland,Kohima,0.8,24.5,43.6,252,0.6,Forest Soil,3.92,Good,Low,0,None,None,False,11
2023-01-29,26.7377,91.4795,Assam,Kamrup,0.3,24.0,66.8,132,4.0,Mountain Soil,3.69,Good,Moderate,1,None,None,False,2
2023-01-29,22.8187,93.2494,Mizoram,Mamit,1.0,14.4,66.7,1208,5.2,Clayey,3.34,Good,Moderate,1,None,None,False,17
2023-01-31,24.299,92.8272,Mizoram,Aizawl,1.7,17.2,47.9,1095,4.9,Mountain Soil,4.07,Good,Low,1,None,None,False,5
2023-02-01,23.9362,91.926,Tripura,North Tripura,0.4,22.9,62.6,684,5.5,Laterite,4.33,Good,Low,0,None,None,False,10
2023-02-02,27.7433,88.5567,Sikkim,South Sikkim,0.1,17.0,34.2,2687,33.0,Mountain Soil,5.14,Good,Moderate,0,None,None,False,0
2023-02-02,25.4659,94.1134,Nagaland,Kohima,0.0,24.0,72.9,552,9.0,Forest Soil,2.83,Good,Moderate,1,None,None,False,10
2023-02-02,26.0614,91.7753,Assam,Sonitpur,0.0,24.2,44.2,124,6.9,Laterite,4.46,Good,Low,2,None,None,False,21
2023-02-03,25.924,91.0995,Meghalaya,Ri Bhoi,1.0,20.0,46.4,382,0.0,Alluvial,3.79,Good,Low,1,None,None,False,13
2023-02-03,27.6551,88.7073,Sikkim,East Sikkim,0.9,5.4,55.0,3530,37.9,Mountain Soil,3.23,Fair,Moderate,0,None,None,False,0
2023-02-03,24.2082,91.2311,Tripura,North Tripura,1.2,18.9,60.6,382,4.5,Sandy Loam,2.53,Good,High,0,None,None,False,0
2023-02-04,27.4981,88.1627,Sikkim,East Sikkim,5.8,14.6,53.7,361,0.0,Red Loamy,4.99,Good,Moderate,1,None,None,False,23
2023-02-04,26.8622,92.5624,Assam,Dibrugarh,0.5,20.2,35.6,137,0.0,Forest Soil,3.97,Fair,Moderate,0,None,None,False,6
2023-02-04,26.9175,95.1819,Nagaland,Tuensang,0.4,13.1,39.6,1653,2.0,Red Loamy,2.58,Good,Low,0,None,None,False,4
2023-02-04,27.2489,91.8404,Assam,Dibrugarh,0.3,24.9,61.7,35,1.1,Forest Soil,2.76,Fair,Moderate,2,None,None,False,7
2023-02-05,24.1234,91.3015,Tripura,West Tripura,1.4,11.5,58.0,386,0.1,Alluvial,5.86,Fair,Moderate,2,None,None,False,15
2023-02-05,24.6732,95.0236,Assam,Cachar,0.6,19.2,51.8,40,0.0,Sandy Loam,3.98,Good,Low,0,None,None,False,21
2023-02-05,25.2794,94.8416,Nagaland,Tuensang,0.7,15.4,74.9,1667,9.4,Red Loamy,4.25,Fair,Low,0,None,None,False,0
2023-02-05,25.849,91.8929,Assam,Nagaon,2.2,31.2,70.0,138,0.0,Forest Soil,4.04,Good,Low,0,None,None,False,11
2023-02-06,23.8164,93.1237,Manipur,Imphal East,1.2,15.5,52.9,1690,15.4,Alluvial,4.08,Good,Low,0,None,None,False,5
2023-02-06,23.2195,91.7076,Tripura,West Tripura,7.0,20.0,68.5,609,1.1,Alluvial,3.07,Good,Low,0,None,None,False,4
2023-02-06,24.0221,94.0901,Manipur,Churachandpur,0.5,18.5,51.4,1979,2.6,Red Loamy,4.02,Damaged,Moderate,2,Fog/Visibility,Medium,False,33
2023-02-06,25.212,92.3819,Meghalaya,East Khasi Hills,0.2,24.5,70.5,179,0.0,Red Loamy,3.08,Good,Low,0,None,None,False,4
2023-02-06,26.7354,91.0455,Assam,Nagaon,3.8,22.7,47.8,31,10.1,Alluvial,2.96,Good,High,0,None,None,False,11
2023-02-07,24.0031,94.1882,Manipur,Senapati,3.1,19.3,67.3,1795,18.8,Mountain Soil,4.96,Good,High,0,None,None,False,3
2023-02-07,23.9573,92.1033,Tripura,Gomati,6.1,23.8,45.2,493,18.0,Clayey,2.66,Good,Low,1,None,None,False,4
2023-02-08,23.4467,91.4324,Tripura,West Tripura,2.4,13.4,54.1,312,9.0,Laterite,3.28,Under Construction,Low,2,Bridge Damage,Low,True,119
2023-02-08,26.3135,94.8119,Nagaland,Tuensang,1.0,17.3,51.6,811,23.1,Sandy Loam,3.54,Fair,Moderate,0,None,None,False,18
2023-02-08,24.3648,91.5411,Tripura,North Tripura,0.3,15.7,32.5,478,18.3,Clayey,5.29,Fair,High,1,None,None,False,5
2023-02-08,26.7096,93.4968,Nagaland,Mokokchung,2.4,18.6,52.0,1707,17.3,Red Loamy,0.5,Fair,High,1,None,None,False,10
2023-02-08,27.6738,88.0627,Sikkim,North Sikkim,2.5,16.3,44.0,2096,0.9,Alluvial,4.51,Good,Low,1,None,None,False,19
2023-02-08,27.1922,88.7569,Sikkim,North Sikkim,0.6,24.8,61.1,1675,18.6,Laterite,3.25,Poor,High,6,Bridge Damage,High,True,316
2023-02-08,26.8597,96.0984,Arunachal Pradesh,East Siang,1.5,26.9,55.4,289,0.0,Alluvial,5.54,Good,Low,2,None,None,False,28
2023-02-08,23.7283,91.8104,Tripura,North Tripura,0.1,29.1,63.5,695,0.0,Sandy Loam,1.44,Good,Low,1,None,None,False,22
2023-02-08,25.1004,94.1186,Manipur,Imphal West,1.9,19.3,32.5,1697,11.0,Forest Soil,3.14,Fair,Moderate,0,None,None,False,13
2023-02-08,26.0158,94.7487,Nagaland,Kohima,0.1,28.2,38.4,337,0.0,Mountain Soil,2.64,Poor,Moderate,7,Traffic Jam,Medium,False,78
2023-02-08,25.7199,94.6333,Assam,Nagaon,1.3,17.8,63.5,172,1.6,Sandy Loam,4.77,Good,Low,0,None,None,False,19
2023-02-09,24.0803,92.3365,Mizoram,Champhai,2.9,23.9,35.5,1004,0.0,Mountain Soil,2.94,Good,Low,0,None,None,False,8
2023-02-09,25.1892,90.265,Meghalaya,South Garo Hills,0.5,18.4,53.6,838,0.0,Clayey,5.3,Poor,Moderate,7,Traffic Jam,Critical,False,46
2023-02-09,23.3293,92.6889,Mizoram,Mamit,3.7,20.4,59.4,678,0.0,Red Loamy,0.54,Good,Low,0,None,None,False,19
2023-02-09,25.7728,91.0015,Meghalaya,Ri Bhoi,1.2,11.9,43.9,653,0.2,Laterite,4.09,Fair,Moderate,0,None,None,False,14
2023-02-09,22.6412,92.9231,Mizoram,Kolasib,0.5,19.5,57.3,572,9.0,Alluvial,3.49,Good,Moderate,0,None,None,False,10
2023-02-10,24.9247,93.8505,Manipur,Imphal East,5.4,14.4,69.4,1120,6.7,Mountain Soil,5.31,Good,Low,2,None,None,False,20
2023-02-10,26.684,93.5782,Nagaland,Dimapur,1.7,25.4,31.4,1699,2.4,Clayey,0.5,Good,High,0,None,None,False,10
2023-02-10,25.3884,92.1994,Meghalaya,Ri Bhoi,4.7,20.6,71.2,1120,11.6,Sandy Loam,3.48,Good,Low,0,None,None,False,13
2023-02-10,28.788,95.9968,Arunachal Pradesh,Lohit,0.3,13.8,55.8,2411,16.9,Clayey,2.7,Good,Moderate,1,None,None,False,19
2023-02-11,23.8249,91.6691,Tripura,Dhalai,1.7,17.5,61.3,775,9.6,Forest Soil,3.67,Good,Low,2,None,None,False,4
2023-02-11,27.8729,88.1249,Sikkim,West Sikkim,10.9,4.7,83.9,2606,21.9,Forest Soil,1.7,Good,Low,0,None,None,False,4
2023-02-11,24.6171,93.5827,Manipur,Ukhrul,1.9,21.2,54.8,1567,2.9,Forest Soil,2.99,Good,Moderate,0,None,None,False,10
2023-02-11,27.2673,94.1929,Assam,Nagaon,6.6,16.5,72.4,129,0.0,Alluvial,2.98,Good,Moderate,1,None,None,False,16
2023-02-11,25.3166,90.7573,Assam,Cachar,4.2,22.5,37.5,51,9.4,Mountain Soil,1.1,Good,Moderate,0,None,None,False,5
2023-02-12,29.0473,92.9749,Arunachal Pradesh,Changlang,2.0,13.1,74.9,2379,17.5,Laterite,2.83,Under Construction,Severe,4,Traffic Jam,Low,False,8
2023-02-12,24.4547,93.0999,Mizoram,Kolasib,0.6,18.8,56.7,1029,4.1,Laterite,4.44,Poor,High,8,Fog/Visibility,Medium,False,57
2023-02-12,22.9613,92.9478,Mizoram,Aizawl,1.5,22.2,69.9,1432,6.8,Red Loamy,1.6,Good,Moderate,1,None,None,False,10
2023-02-12,25.5067,90.5553,Meghalaya,South Garo Hills,4.2,11.8,51.4,805,0.0,Laterite,4.51,Fair,High,0,None,None,False,12
2023-02-13,27.6824,95.7027,Arunachal Pradesh,East Siang,1.0,6.9,50.7,2963,10.8,Forest Soil,2.83,Good,Low,0,None,None,False,3
2023-02-15,27.599,88.7245,Sikkim,North Sikkim,0.4,17.6,50.1,1605,5.1,Sandy Loam,7.78,Good,Low,0,None,None,False,16
2023-02-15,25.7954,89.8507,Meghalaya,South Garo Hills,3.7,16.0,43.2,1272,15.5,Clayey,4.27,Fair,Moderate,0,None,None,False,4
2023-02-15,27.7596,88.0912,Sikkim,West Sikkim,0.4,11.1,52.2,3011,10.8,Mountain Soil,3.76,Fair,Low,1,None,None,False,15
2023-02-15,24.6473,93.4044,Manipur,Imphal West,3.0,15.2,55.5,1658,18.2,Mountain Soil,3.49,Good,Low,1,None,None,False,0
2023-02-16,25.7175,90.7178,Meghalaya,Ri Bhoi,0.1,19.1,57.7,585,6.9,Laterite,4.55,Good,Low,0,None,None,False,0
2023-02-16,22.1716,92.2848,Mizoram,Champhai,5.6,13.6,47.6,1340,0.0,Alluvial,0.95,Fair,Moderate,0,None,None,False,0
2023-02-16,24.1256,92.0786,Tripura,Khowai,0.0,21.0,59.4,42,0.0,Forest Soil,1.46,Good,Moderate,2,None,None,False,2
2023-02-16,24.2302,92.5543,Mizoram,Champhai,4.7,19.9,41.5,1781,5.9,Alluvial,4.25,Poor,Severe,3,Bridge Damage,Medium,False,36
2023-02-16,24.5898,94.4165,Manipur,Imphal East,1.8,18.0,36.8,1432,4.2,Mountain Soil,4.37,Good,Moderate,0,None,None,False,7
2023-02-16,23.8699,94.4675,Manipur,Ukhrul,0.9,27.3,49.0,910,0.0,Red Loamy,4.43,Good,Moderate,1,None,None,False,21
2023-02-16,25.0588,92.7398,Meghalaya,West Garo Hills,1.4,13.7,56.8,1216,9.6,Alluvial,4.29,Fair,Low,1,None,None,False,5
2023-02-17,23.9494,91.3386,Tripura,West Tripura,4.7,18.0,54.6,293,0.0,Mountain Soil,5.07,Good,Low,1,None,None,False,6
